"Distribution";"Density Function";"Type";"No. of Parameters";"Default Location";"Default Scale";"Default Skewness";"Default Kurtosis";"Default Binomial Denominator";"Location Lower Bound";"Location Upper Bound";"Scale Lower Bound";"Scale Upper Bound";"Skewness Lower Bound";"Skewness Upper Bound";"Kurtosis Lower Bound";"Kurtosis Upper Bound";"X Lower Bound";"X Upper Bound"
"Beta Binomial";"dBB";"discrete";2;0.5;1;NA;NA;10;0;1;1e-10;NA;NA;NA;NA;NA;"0";NA
"Box-Cox Cole and Green";"dBCCG";"continuous";3;1;0.1;1;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Box-Cox Cole and Green";"dBCCGo";"continuous";3;1;0.1;1;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Box-Cox Power Exponential";"dBCPE";"continuous";4;5;0.1;1;2;NA;1e-10;NA;1e-10;NA;NA;NA;"1e-10";NA;"0";NA
"Box-Cox Power Exponential";"dBCPEo";"continuous";4;5;0.1;1;2;NA;1e-10;NA;1e-10;NA;NA;NA;"1e-10";NA;"0";NA
"Box-Cox-t";"dBCT";"continuous";4;5;0.1;1;2;NA;1e-10;NA;1e-10;NA;NA;NA;"1e-10";NA;"0";NA
"Box-Cox-t";"dBCTo";"continuous";4;5;0.1;1;2;NA;1e-10;NA;1e-10;NA;NA;NA;"1e-10";NA;"0";NA
"Beta";"dBE";"continuous";2;0.5;0.2;NA;NA;NA;1e-10;0.9999999;1e-10;0.9999999;NA;NA;NA;NA;"1e-10";0.9999999
"Beta inflated";"dBEINF";"mixed";4;0.5;0.1;0.1;0.1;NA;1e-10;0.9999999;1e-10;0.9999999;1e-10;NA;"1e-10";NA;"0";1
"Beta inflated";"dBEINF0";"mixed";3;0.5;0.1;0.1;NA;NA;1e-10;0.9999999;1e-10;0.9999999;1e-10;NA;NA;NA;"0";1
"Beta inflated";"dBEINF1";"mixed";3;0.5;0.1;0.1;NA;NA;1e-10;0.9999999;1e-10;0.9999999;1e-10;NA;NA;NA;"1e-10";1
"Beta";"dBEo";"continuous";2;0.5;0.2;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"1e-10";0.9999999
"Beta one inflated";"dBEOI";"mixed";3;0.5;1;0.1;NA;NA;1e-10;0.9999999;0;NA;1e-10;0.9999999;NA;NA;"1e-10";1
"Beta zero inflated";"dBEZI";"mixed";3;0.5;1;0.1;NA;NA;1e-10;0.9999999;0;NA;1e-10;0.9999999;NA;NA;"0";0.9999999
"Binomial";"dBI";"discrete";1;0.5;NA;NA;NA;1;0;1;NA;NA;NA;NA;NA;NA;"0";NA
"Beta negative binomial";"dBNB";"discrete";3;1;1;1;NA;NA;1e-10;NA;1e-10;NA;1e-10;NA;NA;NA;"0";NA
"Double binomial";"dDBI";"discrete";2;0.5;1;NA;NA;2;0;1;1e-10;NA;NA;NA;NA;NA;"0";NA
"Delaport";"dDEL";"discrete";3;1;1;0.5;NA;NA;1e-10;NA;1e-10;NA;1e-10;0.9999999;NA;NA;"0";NA
"Double Poisson";"dDPO";"discrete";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Exponential generalized Beta type 2";"dEGB2";"continuous";4;0;1;1;0.5;NA;NA;NA;NA;NA;0;NA;"0";NA;NA;NA
"Exponential Gaussian";"dexGAUS";"continuous";3;5;1;1;NA;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA
"Exponential";"dEXP";"continuous";1;1;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA;"0";NA
"Gamma";"dGA";"continuous";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Generalized Beta type 1";"dGB1";"continuous";4;0.5;0.4;1;1;NA;1e-10;0.9999999;1e-10;0.9999999;0;NA;"0";NA;"1e-10";0.9999999
"Generalized Beta type 2";"dGB2";"continuous";4;1;1;1;0.5;NA;0;NA;NA;NA;0;NA;"0";NA;NA;NA
"Geometric";"dGEOM";"discrete";1;2;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;"0";NA
"Geometric (original)";"dGEOMo";"discrete";1;0.5;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA;NA;"0";NA
"Generalized Gamma";"dGG";"continuous";3;1;0.5;1;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Generalized Inverse Gaussian";"dGIG";"continuous";3;1;1;1;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Generalised Pareto";"dGP";"continuous";2;1;1;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA
"Generalised Pareto";"dGPO";"continuous";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Generalized t";"dGT";"continuous";4;0;1;3;1.5;NA;NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Gumbel";"dGU";"continuous";2;0;1;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA
"Inverse Gaussian";"dIG";"continuous";2;1;1;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;"0";NA
"Inverse Gamma";"dIGAMMA";"continuous";2;1;0.5;NA;NA;NA;0;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Johnson's SU";"dJSU";"continuous";4;0;1;1;0.5;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Johnson's SU";"dJSUo";"continuous";4;0;1;0;1;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Logarithmic";"dLG";"discrete";1;0.5;NA;NA;NA;NA;1e-10;0.9999999;NA;NA;NA;NA;NA;NA;"1e-10";NA
"log-Normal (Box-Cox)";"dLNO";"continuous";3;1;0.1;0;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Logistic";"dLO";"continuous";2;0;1;NA;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Logit Normal";"dLOGITNO";"continuous";2;0.5;1;NA;NA;NA;0;1;1e-10;NA;NA;NA;NA;NA;NA;NA
"log-Normal";"dLOGNO";"continuous";2;0;1;NA;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"log-Normal";"dLOGNO2";"continuous";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Normal Linear Quadratic";"dLQNO";"continuous";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Multinomial";"dMN3";"discrete";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"1";3
"Multinomial";"dMN4";"discrete";3;1;1;1;NA;NA;1e-10;NA;1e-10;NA;1e-10;NA;NA;NA;"1";5
"Multinomial";"dMN5";"discrete";4;1;1;1;1;NA;1e-10;NA;1e-10;NA;1e-10;NA;"1e-10";NA;"1";5
"Negative Binomial family";"dNBF";"discrete";3;1;1;2;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Negative Binomial type I";"dNBI";"discrete";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Negative Binomial type II";"dNBII";"discrete";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Normal Exponential t";"dNET";"continuous";4;0;1;1.5;2;NA;NA;NA;1e-10;NA;1e-10;NA;"Skewness";NA;NA;NA
"Normal (mean, sd)";"dNO";"continuous";2;0;1;NA;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Normal (mean, var)";"dNO2";"continuous";2;0;1;NA;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Normal Family";"dNOF";"continuous";3;0;1;0;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Pareto type 2";"dPARETO2";"continuous";2;1;0.5;NA;NA;NA;0;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Pareto type 2 original";"dPARETO2o";"continuous";2;1;0.5;NA;NA;NA;0;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Power Exponential";"dPE";"continuous";3;0;1;2;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA
"Power Exponential type 2";"dPE2";"continuous";3;0;1;2;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA
"Poisson inverse Gaussian";"dPIG";"discrete";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Poison";"dPO";"discrete";1;1;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA;"0";NA
"Reverse Gumbel";"dRG";"continuous";2;0;1;NA;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Reverse generalized extreme";"dRGE";"continuous";3;1;0.1;1;NA;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;"Location - (Scale / Skewness)";NA
"Skew Power Exponential";"dSEP";"continuous";4;0;1;0;2;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Skew Power Exponential type 1";"dSEP1";"continuous";4;0;1;0;2;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Skew Power Exponential type 2";"dSEP2";"continuous";4;0;1;0;2;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Skew Power Exponential type 3";"dSEP3";"continuous";4;0;1;2;2;NA;NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Skew Power Exponential type 4";"dSEP4";"continuous";4;0;1;2;2;NA;NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Shash";"dSHASH";"continuous";4;0;1;0.5;0.5;NA;NA;NA;0;NA;0;NA;"0";NA;NA;NA
"Shash original";"dSHASHo";"continuous";4;0;1;0;1;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Shash original 2";"dSHASHo2";"continuous";4;0;1;0;1;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Sichel (original)";"dSI";"discrete";3;0.5;0.02;-0.5;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Sichel (mu as the mean)";"dSICHEL";"discrete";3;1;1;-0.5;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Skew Normal Type 1";"dSN1";"continuous";3;0;1;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA
"Skew Normal Type 2";"dSN2";"continuous";3;0;1;2;NA;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA
"Skew t";"dSST";"continuous";4;0;1;0.8;7;NA;NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Skew t type 1";"dST1";"continuous";4;0;1;0;2;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Skew t type 2";"dST2";"continuous";4;0;1;0;2;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Skew t type 3";"dST3";"continuous";4;0;1;1;10;NA;NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Skew t";"dST3C";"continuous";4;0;1;1;10;NA;NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Skew t type 4";"dST4";"continuous";4;0;1;1;10;NA;NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Skew t type 5";"dST5";"continuous";4;0;1;0;1;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"t-distribution";"dTF";"continuous";3;0;1;10;NA;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA
"t-distribution";"dTF2";"continuous";3;0;1;10;NA;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA
"Waring";"dWARING";"discrete";2;2;2;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;"0";NA
"Weibull";"dWEI";"continuous";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Weibull(PH parameterization)";"dWEI2";"continuous";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Weibull (mu as mean)";"dWEI3";"continuous";2;1;1;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Yule";"dYULE";"discrete";1;2;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;"0";NA
"Zero adjusted beta binomial";"dZABB";"discrete";3;0.5;0.1;0.1;NA;1;1e-10;0.9999999;1e-10;NA;1e-10;0.9999999;NA;NA;"0";NA
"Zero adjusted binomial";"dZABI";"discrete";2;0.5;0.1;NA;NA;1;1e-10;0.9999999;1e-10;0.9999999;NA;NA;NA;NA;"0";NA
"Zero adjusted beta neg. bin.";"dZABNB";"discrete";4;1;1;1;0.1;NA;1e-10;NA;1e-10;NA;NA;NA;"1e-10";0.9999999;"0";NA
"Zero adjusted Gamma";"dZAGA";"mixed";3;1;1;0.1;NA;NA;0;NA;0;NA;0;1;NA;NA;"0";NA
"Zero adjusted IG";"dZAIG";"mixed";3;1;1;0.1;NA;NA;0;NA;0;NA;NA;NA;NA;NA;"0";NA
"Zero adjusted logarithmic";"dZALG";"discrete";2;0.5;0.1;NA;NA;NA;1e-10;0.9999999;1e-10;0.9999999;NA;NA;NA;NA;"0";NA
"Zero adjusted neg. bin.";"dZANBI";"discrete";3;1;1;0.3;NA;NA;1e-10;NA;1e-10;NA;1e-10;0.9999999;NA;NA;"0";NA
"Zero adjusted poisson";"dZAP";"discrete";2;5;0.1;NA;NA;NA;1e-10;NA;1e-10;0.9999999;NA;NA;NA;NA;"0";NA
"Zero adjusted PIG";"dZAPIG";"discrete";3;1;1;0.3;NA;NA;1e-10;NA;1e-10;NA;1e-10;0.9999999;NA;NA;"0";NA
"Zero adjusted Sichel";"dZASICHEL";"discrete";4;1;1;-0.5;0.1;NA;1e-10;NA;1e-10;NA;NA;NA;"1e-10";0.9999999;"0";NA
"Zero adjusted Zipf";"dZAZIPF";"discrete";2;0.5;0.1;NA;NA;NA;1e-10;NA;1e-10;0.9999999;NA;NA;NA;NA;"0";NA
"Zero inflated beta binomial";"dZIBB";"discrete";3;0.5;0.5;0.1;NA;1;1e-10;0.9999999;1e-10;NA;1e-10;0.9999999;NA;NA;"0";NA
"Zero inflated binomial";"dZIBI";"discrete";2;0.5;0.1;NA;NA;1;1e-10;0.9999999;1e-10;0.9999999;NA;NA;NA;NA;"0";NA
"Zero inflated beta neg. bin.";"dZIBNB";"discrete";4;1;1;1;0.1;NA;1e-10;NA;1e-10;NA;NA;NA;"1e-10";0.9999999;"0";NA
"Zero inflated neg. bin. family";"dZINBF";"discrete";4;1;1;2;0.1;NA;1e-10;NA;1e-10;NA;NA;NA;"1e-10";0.9999999;"0";NA
"Zero inflated neg. bin.";"dZINBI";"discrete";3;1;1;0.3;NA;NA;1e-10;NA;1e-10;NA;1e-10;0.9999999;NA;NA;"0";NA
"Zero inflated poisson";"dZIP";"discrete";2;5;0.1;NA;NA;NA;1e-10;NA;1e-10;0.9999999;NA;NA;NA;NA;"0";NA
"Zero inf. poiss.(mu as mean)";"dZIP2";"discrete";2;5;0.1;NA;NA;NA;1e-10;NA;1e-10;0.9999999;NA;NA;NA;NA;"0";NA
"Zipf";"dZIPF";"discrete";1;1;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA;"1";NA
"Zero inflated PIG";"dZIPIG";"discrete";3;1;1;0.3;NA;NA;1e-10;NA;1e-10;NA;1e-10;0.9999999;NA;NA;"0";NA
"Zero inflated Sichel";"dZISICHEL";"discrete";4;1;1;-0.5;0.1;NA;1e-10;NA;1e-10;NA;NA;NA;"1e-10";0.9999999;"0";NA
